epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8248,1.50807,3.92471,1.28819,0.00515,0.63636,0.00612,0.00449,0.88942,3.77127,1.01829,8e-05,8e-05,8e-05
2,37.3715,0.90737,3.01532,0.97162,0.00693,0.85561,0.01493,0.01051,0.93265,3.52674,0.92795,0.00017406,0.00017406,0.00017406
3,55.3706,0.90928,1.81389,0.93111,0.00727,0.8984,0.01608,0.01128,0.81264,3.34653,0.88287,0.00026152,0.00026152,0.00026152
4,77.6468,0.86246,1.40852,0.87904,0.00719,0.8877,0.01524,0.01012,0.84185,3.42156,0.94135,0.00034238,0.00034238,0.00034238
5,95.9092,0.76545,1.34456,0.88453,0.00701,0.86631,0.01368,0.00995,0.80678,3.3046,0.893,0.00041664,0.00041664,0.00041664
6,113.53,0.8378,1.37229,0.94107,0.00658,0.81283,0.01232,0.00932,0.81058,3.30216,0.88493,0.0004843,0.0004843,0.0004843
7,131.894,0.73078,1.32415,0.88143,0.00567,0.70053,0.01034,0.00729,0.92336,3.44708,0.9697,0.00054536,0.00054536,0.00054536
8,151.318,0.86581,1.33017,0.94045,0.00602,0.74332,0.02352,0.01701,0.8779,3.3773,0.94426,0.00059982,0.00059982,0.00059982
9,170.884,0.74452,1.24015,0.88602,0.00667,0.82353,0.50185,0.42708,0.75478,3.16035,0.85421,0.00064768,0.00064768,0.00064768
10,189.985,0.78903,1.26445,0.90911,0.00636,0.7861,0.57164,0.48293,0.7255,3.09027,0.85548,0.00068894,0.00068894,0.00068894
11,210.286,0.79919,1.21044,0.90564,0.00693,0.85561,0.11952,0.10026,0.64264,2.9616,0.81685,0.0007236,0.0007236,0.0007236
12,231.762,0.75496,1.14812,0.91455,0.00688,0.85027,0.16437,0.13549,0.68069,2.8606,0.83044,0.00075166,0.00075166,0.00075166
13,253.122,0.7193,1.22539,0.89499,0.00662,0.81818,0.24669,0.20405,0.67444,2.92508,0.82891,0.00077312,0.00077312,0.00077312
14,272.252,0.70579,1.24902,0.88952,1,0.11539,0.62419,0.52848,0.61365,2.7948,0.82152,0.00078798,0.00078798,0.00078798
15,291.393,0.72377,1.10462,0.89694,1,0.10495,0.57234,0.49458,0.64064,2.71186,0.82114,0.00079624,0.00079624,0.00079624
16,310.011,0.73704,1.25042,0.88626,0.97758,0.23324,0.81717,0.69746,0.63804,2.50873,0.81855,0.0007979,0.0007979,0.0007979
17,328.753,0.67441,0.99173,0.86877,0.97586,0.70588,0.87345,0.73838,0.59509,2.17903,0.80103,0.00079296,0.00079296,0.00079296
18,347.298,0.66935,0.97764,0.8711,0.97249,0.70588,0.87522,0.73465,0.60373,2.04919,0.7963,0.00078142,0.00078142,0.00078142
19,367.32,0.61908,0.94869,0.86089,0.97873,0.71658,0.87968,0.73497,0.62181,1.88699,0.79094,0.00076328,0.00076328,0.00076328
20,390.043,0.66969,0.99877,0.87053,0.98577,0.7411,0.89534,0.79585,0.53626,1.6482,0.7715,0.00073854,0.00073854,0.00073854
21,412.445,0.58968,1.01423,0.85085,1,0.73192,0.89011,0.77798,0.55015,1.61678,0.77033,0.00068,0.00068,0.00068
22,434.212,0.58641,1.04238,0.84467,0.99268,0.73262,0.88145,0.77494,0.52081,1.52165,0.76627,0.000614,0.000614,0.000614
23,452.019,0.5592,0.99825,0.85303,0.98007,0.72727,0.86036,0.76527,0.49267,1.40977,0.76266,0.000548,0.000548,0.000548
24,468.742,0.53151,0.9701,0.83328,0.94646,0.75634,0.89871,0.79231,0.49628,1.21845,0.75998,0.000482,0.000482,0.000482
25,485.443,0.51961,0.97704,0.8458,0.92262,0.76471,0.90204,0.79924,0.50075,1.14986,0.75998,0.000416,0.000416,0.000416
26,502.265,0.52808,0.94142,0.83439,0.92856,0.75936,0.9011,0.80928,0.48313,1.10822,0.75879,0.00035,0.00035,0.00035
27,518.928,0.54021,0.96105,0.84658,0.97892,0.74499,0.89996,0.81795,0.46111,1.08383,0.75751,0.000284,0.000284,0.000284
28,535.49,0.50128,0.90994,0.81759,0.97254,0.75761,0.9065,0.82485,0.44808,1.01925,0.75592,0.000218,0.000218,0.000218
29,552.189,0.52198,0.90795,0.83009,0.97924,0.75675,0.90969,0.82838,0.44742,0.99433,0.75437,0.000152,0.000152,0.000152
30,568.958,0.50573,0.90164,0.81956,0.97922,0.756,0.91266,0.83289,0.44408,0.97368,0.75361,8.6e-05,8.6e-05,8.6e-05
