epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3227,0.8927,2.98626,1.21031,0.00341,1,0.89409,0.73547,0.51513,2.89962,0.92919,0.0001,0.0001,0.0001
2,53.2727,0.63937,2.04959,1.04744,1,0.31925,0.97591,0.85913,0.46631,2.43323,0.87173,0.00021274,0.00021274,0.00021274
3,80.5929,0.58393,1.16409,0.94152,1,0.57752,0.96788,0.8097,0.60603,2.42255,0.96414,0.00031756,0.00031756,0.00031756
4,116.903,0.63295,1.24618,0.99869,1,0.5979,0.97226,0.83302,0.57526,2.40686,0.95818,0.00041446,0.00041446,0.00041446
5,159.757,0.6607,1.1146,0.98799,1,0.73442,0.97607,0.8827,0.51089,2.31519,0.90904,0.00050344,0.00050344,0.00050344
6,197.236,0.5729,1.00115,0.91161,1,0.77825,0.96522,0.84046,0.59726,2.35803,0.90752,0.0005845,0.0005845,0.0005845
7,234.798,0.62285,1.0651,0.94417,0.98513,0.78862,0.96621,0.79289,0.59629,2.36373,0.93568,0.00065764,0.00065764,0.00065764
8,275.545,0.62836,1.04316,0.945,0.98198,0.64882,0.96708,0.83076,0.55091,2.39434,0.91962,0.00072286,0.00072286,0.00072286
9,308.979,0.6442,0.94755,0.98358,1,0.93235,0.97494,0.83633,0.56939,1.81589,0.91674,0.00078016,0.00078016,0.00078016
10,345.152,0.71314,1.22019,1.15601,0.99782,0.97619,0.97799,0.86099,0.52396,1.50955,0.89597,0.00082954,0.00082954,0.00082954
11,378.915,0.60875,1.07408,0.95643,0.95082,0.92073,0.9526,0.80679,0.5518,1.65779,0.88837,0.000871,0.000871,0.000871
12,414.331,0.59668,0.90394,0.91393,0.97499,0.92827,0.97632,0.86271,0.50999,1.4913,0.87902,0.00090454,0.00090454,0.00090454
13,447.98,0.60902,1.00696,0.97301,1,0.97279,0.99133,0.88885,0.46305,1.28402,0.84338,0.00093016,0.00093016,0.00093016
14,483.559,0.58104,0.93667,0.95624,0.97586,0.96272,0.97032,0.83875,0.56012,1.31256,0.90588,0.00094786,0.00094786,0.00094786
15,519.759,0.60743,0.88905,0.96698,0.94125,0.95359,0.96494,0.81029,0.60898,1.33641,0.93402,0.00095764,0.00095764,0.00095764
16,552.962,0.55051,0.84538,0.94203,0.92595,0.91667,0.96893,0.78903,0.64612,1.22962,0.96351,0.0009595,0.0009595,0.0009595
17,587.712,0.55386,0.88252,0.95345,0.94079,0.97619,0.98406,0.85486,0.55581,1.1149,0.89638,0.000944,0.000944,0.000944
18,626.781,0.54813,0.8283,0.9781,0.89782,0.97619,0.97413,0.86131,0.50028,1.17531,0.87836,0.000878,0.000878,0.000878
19,660.932,0.54929,0.77709,0.9174,0.93167,0.97398,0.97424,0.89129,0.44773,1.14882,0.86764,0.000812,0.000812,0.000812
20,695.811,0.54965,0.79322,0.97027,0.95322,0.9704,0.98158,0.90011,0.44298,1.07108,0.8481,0.000746,0.000746,0.000746
21,731.251,0.4687,1.11976,0.95199,0.97494,0.9881,0.98338,0.88752,0.42238,0.99202,0.82806,0.00068,0.00068,0.00068
22,765.094,0.50591,1.01163,0.97633,0.99249,0.97619,0.98476,0.91166,0.36861,1.00729,0.80432,0.000614,0.000614,0.000614
23,797.458,0.44147,0.96585,0.86808,0.99697,0.97619,0.98495,0.91576,0.36916,1.11588,0.80362,0.000548,0.000548,0.000548
24,834.846,0.41692,0.99881,0.91665,0.98602,0.9881,0.98558,0.92338,0.35889,1.10425,0.80261,0.000482,0.000482,0.000482
25,868.862,0.48416,0.98511,0.88993,0.98774,0.9881,0.98678,0.92687,0.35392,0.94699,0.79271,0.000416,0.000416,0.000416
26,901.725,0.38036,0.86187,0.88827,1,0.98756,0.98656,0.94522,0.32377,0.77849,0.77787,0.00035,0.00035,0.00035
27,939.381,0.38078,0.83795,0.85639,1,0.98769,0.98596,0.95416,0.30643,0.73998,0.7707,0.000284,0.000284,0.000284
28,972.668,0.42698,0.90393,0.85998,1,0.98805,0.98535,0.94029,0.30018,0.6984,0.76766,0.000218,0.000218,0.000218
29,1008.57,0.34267,0.78699,0.83671,0.99983,0.9881,0.98523,0.94503,0.29121,0.68143,0.76533,0.000152,0.000152,0.000152
30,1042.63,0.35621,0.78912,0.8371,0.99959,0.9881,0.98513,0.95608,0.27251,0.66172,0.7596,8.6e-05,8.6e-05,8.6e-05
