epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5348,1.24236,2.80856,1.53139,0.48132,0.34167,0.25245,0.16184,1.16994,3.22972,1.61068,0.0003,0.0003,0.0003
2,165.716,1.17376,2.0948,1.48469,0.67541,0.32752,0.31172,0.17596,1.26126,2.82515,1.65848,0.000592287,0.000592287,0.000592287
3,243.892,1.21133,2.05555,1.51267,0.71876,0.35286,0.37162,0.24154,1.21504,2.7231,1.63933,0.00086395,0.00086395,0.00086395
4,323.05,1.24309,1.85085,1.50528,0.5326,0.44409,0.35018,0.21631,1.21385,2.46497,1.71514,0.00111499,0.00111499,0.00111499
5,402.864,1.27708,1.80203,1.49069,0.56129,0.4371,0.36367,0.21509,1.37439,2.53791,1.86467,0.001085,0.001085,0.001085
6,481.305,1.27826,1.80066,1.50337,0.54686,0.45502,0.36321,0.19944,1.41633,2.50292,1.82808,0.00104375,0.00104375,0.00104375
7,565.368,1.24387,1.68638,1.46495,0.56076,0.50296,0.35897,0.23493,1.27386,2.31621,1.73266,0.0010025,0.0010025,0.0010025
8,652.035,1.2157,1.65598,1.48071,0.68752,0.42899,0.38427,0.24065,1.29259,2.52792,1.69593,0.00096125,0.00096125,0.00096125
9,735.134,1.18473,1.54864,1.41394,0.70977,0.51156,0.49872,0.32987,1.22435,1.88851,1.66972,0.00092,0.00092,0.00092
10,836.983,1.17894,1.49524,1.41581,0.68886,0.44576,0.42876,0.25686,1.29225,2.23612,1.68426,0.00087875,0.00087875,0.00087875
11,928.142,1.17591,1.46149,1.40633,0.7156,0.47003,0.47741,0.31245,1.19889,2.06345,1.55751,0.0008375,0.0008375,0.0008375
12,1014.76,1.161,1.46876,1.40215,0.59702,0.50833,0.42686,0.29529,1.06895,2.02818,1.48582,0.00079625,0.00079625,0.00079625
13,1106.03,1.16063,1.42231,1.41167,0.69918,0.60464,0.55479,0.33784,1.19929,1.59032,1.61162,0.000755,0.000755,0.000755
14,1190.25,1.10598,1.35761,1.34433,0.71154,0.52093,0.49937,0.32721,1.16501,1.84288,1.55184,0.00071375,0.00071375,0.00071375
15,1277.72,1.11198,1.34892,1.36134,0.73346,0.59355,0.56152,0.36192,1.16412,1.50751,1.55399,0.0006725,0.0006725,0.0006725
16,1364.87,1.15037,1.31303,1.3969,0.65914,0.48521,0.46058,0.29791,1.26485,1.8226,1.6512,0.00063125,0.00063125,0.00063125
17,1452.57,1.10221,1.31411,1.36496,0.71178,0.49483,0.51064,0.33841,1.18119,1.57592,1.55145,0.00059,0.00059,0.00059
18,1538.54,1.09759,1.29477,1.37354,0.6842,0.57016,0.48061,0.3254,1.14952,1.65075,1.5481,0.00054875,0.00054875,0.00054875
19,1624.91,1.06634,1.26507,1.33652,0.72124,0.61909,0.51999,0.3584,1.13841,1.54878,1.51429,0.0005075,0.0005075,0.0005075
20,1713.22,1.04284,1.22832,1.31783,0.74614,0.56962,0.51758,0.36811,1.09682,1.39097,1.4624,0.00046625,0.00046625,0.00046625
21,1798.38,0.94823,1.3814,1.34244,0.71742,0.57849,0.51239,0.35086,1.06419,1.60082,1.42908,0.000425,0.000425,0.000425
22,1883.96,0.92937,1.25,1.32117,0.69939,0.60215,0.52583,0.37335,1.00519,1.42807,1.38629,0.00038375,0.00038375,0.00038375
23,1972.32,0.922,1.2317,1.2965,0.75659,0.60964,0.56005,0.40311,0.96063,1.25321,1.35628,0.0003425,0.0003425,0.0003425
24,2061.36,0.9358,1.18287,1.33599,0.69218,0.61662,0.52507,0.37094,1.02829,1.34942,1.4133,0.00030125,0.00030125,0.00030125
25,2149.67,0.9015,1.17196,1.26834,0.73314,0.54328,0.5124,0.35379,1.00684,1.35921,1.38671,0.00026,0.00026,0.00026
26,2240.36,0.89366,1.20248,1.26177,0.71025,0.63536,0.51895,0.37563,0.98589,1.39564,1.38408,0.00021875,0.00021875,0.00021875
27,2328.55,0.8701,1.09885,1.26295,0.66949,0.63809,0.51516,0.37537,0.96468,1.29182,1.36421,0.0001775,0.0001775,0.0001775
28,2425.25,0.84702,1.10213,1.23748,0.73672,0.57129,0.52185,0.38293,0.95461,1.28369,1.3528,0.00013625,0.00013625,0.00013625
29,2535.11,0.80352,1.11197,1.211,0.68829,0.62688,0.50976,0.37625,0.95192,1.37139,1.34568,9.5e-05,9.5e-05,9.5e-05
30,2631.21,0.83211,1.0444,1.2366,0.69468,0.61882,0.50772,0.3772,0.94886,1.39802,1.33664,5.375e-05,5.375e-05,5.375e-05
