epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,3250.82,0.52142,0.34714,0.83868,0.99976,1,0.995,0.91497,0.46383,0.31827,0.8061,0.000515,0.000515,0.000515
62,3303.32,0.52236,0.35143,0.84972,0.99978,1,0.995,0.92582,0.45072,0.32448,0.80877,0.00049025,0.00049025,0.00049025
63,3356.43,0.51131,0.3385,0.84537,0.99978,1,0.995,0.92444,0.45224,0.32004,0.807,0.0004655,0.0004655,0.0004655
64,3410.36,0.49486,0.34076,0.83879,0.99977,1,0.995,0.92071,0.45618,0.32479,0.80736,0.00044075,0.00044075,0.00044075
65,3467.98,0.52865,0.36003,0.86547,0.99977,1,0.995,0.9206,0.44605,0.32016,0.81106,0.000416,0.000416,0.000416
66,3529.28,0.53834,0.34773,0.85488,0.99973,1,0.995,0.92073,0.44876,0.3211,0.80404,0.00039125,0.00039125,0.00039125
67,3590.73,0.51048,0.3486,0.863,0.99973,1,0.995,0.92863,0.42871,0.30916,0.80037,0.0003665,0.0003665,0.0003665
68,3651.25,0.4825,0.31778,0.8434,0.99974,1,0.995,0.9297,0.41948,0.312,0.79647,0.00034175,0.00034175,0.00034175
69,3713.22,0.50927,0.32543,0.857,0.99973,1,0.995,0.93206,0.41054,0.30326,0.79699,0.000317,0.000317,0.000317
70,3775.47,0.47429,0.3179,0.8201,0.99975,1,0.995,0.9354,0.41052,0.29735,0.79548,0.00029225,0.00029225,0.00029225
71,3839.87,0.46625,0.32244,0.81843,0.99972,1,0.995,0.93233,0.41301,0.29638,0.79615,0.0002675,0.0002675,0.0002675
72,3901.29,0.46865,0.30924,0.81194,0.99969,1,0.995,0.93161,0.40491,0.28871,0.79466,0.00024275,0.00024275,0.00024275
73,3962.76,0.44608,0.30725,0.81603,0.99973,1,0.995,0.93638,0.40291,0.28548,0.79509,0.000218,0.000218,0.000218
74,4024.74,0.45983,0.31164,0.84748,0.99975,1,0.995,0.94025,0.40093,0.28752,0.79493,0.00019325,0.00019325,0.00019325
75,4083.93,0.43543,0.29032,0.81314,0.99976,1,0.995,0.93707,0.3986,0.28913,0.79564,0.0001685,0.0001685,0.0001685
76,4143.76,0.43772,0.30021,0.81133,0.99976,1,0.995,0.94111,0.38896,0.28166,0.79239,0.00014375,0.00014375,0.00014375
77,4204.36,0.41501,0.296,0.81588,0.99976,1,0.995,0.94131,0.3903,0.28453,0.79178,0.000119,0.000119,0.000119
78,4265.08,0.4305,0.29594,0.82288,0.99975,1,0.995,0.94149,0.39212,0.28322,0.79096,9.425e-05,9.425e-05,9.425e-05
79,4338.26,0.44067,0.29211,0.81777,0.99977,1,0.995,0.94419,0.38898,0.28084,0.79018,6.95e-05,6.95e-05,6.95e-05
80,4400.36,0.44165,0.29906,0.81967,0.99977,1,0.995,0.94613,0.38415,0.27662,0.78955,4.475e-05,4.475e-05,4.475e-05
