epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6676,0.94496,3.17607,1.00232,0.00313,0.93594,0.33497,0.29323,0.72393,3.90241,0.84293,0.00034,0.00034,0.00034
2,120.85,0.80906,1.83901,0.91168,0.00301,0.90036,0.14687,0.11374,0.76144,4.00426,0.87556,0.000691338,0.000691338,0.000691338
3,173.878,0.92175,1.6487,0.95583,0.61193,0.07298,0.13098,0.09533,0.85168,3.81724,0.90742,0.00103377,0.00103377,0.00103377
4,225.917,0.87747,1.54184,0.94586,0.33407,0.23922,0.27311,0.16952,0.97351,3.48705,0.97905,0.00136728,0.00136728,0.00136728
5,281.009,0.8858,1.44902,0.96543,0.84703,0.17735,0.37587,0.25808,1.03715,3.57359,1.05907,0.00169189,0.00169189,0.00169189
6,336.419,0.92345,1.29059,0.96392,0.8085,0.73621,0.86147,0.58049,1.02822,2.25909,1.07628,0.00187625,0.00187625,0.00187625
7,389.816,0.87392,1.18955,0.98969,0.79662,0.82242,0.87814,0.61842,1.01881,1.80408,1.08345,0.0018515,0.0018515,0.0018515
8,441.262,0.86922,1.05192,0.95485,0.93111,0.9573,0.9835,0.667,0.96218,1.38482,1.01291,0.00182675,0.00182675,0.00182675
9,492.428,0.85808,0.9783,0.94881,0.83844,0.77571,0.89596,0.6843,0.85307,1.46028,0.94704,0.001802,0.001802,0.001802
10,544.467,0.83285,0.97549,0.99842,0.96736,0.98932,0.98934,0.77711,0.79675,1.24579,0.92507,0.00177725,0.00177725,0.00177725
11,596.25,0.80412,0.86696,0.93637,0.88718,0.96085,0.96313,0.75541,0.80067,1.10586,0.92212,0.0017525,0.0017525,0.0017525
12,648.376,0.83397,0.85025,0.94231,0.9544,1,0.98828,0.77701,0.7973,0.96843,0.92966,0.00172775,0.00172775,0.00172775
13,701.034,0.83052,0.79504,0.94832,0.97171,0.97794,0.99002,0.78635,0.7517,0.86843,0.90426,0.001703,0.001703,0.001703
14,753.979,0.79471,0.70222,0.92877,0.99859,0.98932,0.99482,0.7715,0.77676,0.77497,0.92494,0.00167825,0.00167825,0.00167825
15,806.74,0.81703,0.73706,0.92367,0.99167,0.98932,0.99238,0.78218,0.75107,0.73338,0.90616,0.0016535,0.0016535,0.0016535
16,859.268,0.79615,0.69278,0.93591,0.99969,1,0.995,0.79653,0.72604,0.66521,0.90809,0.00162875,0.00162875,0.00162875
17,911.938,0.73523,0.63796,0.8971,0.98924,0.97153,0.9935,0.80587,0.72761,0.84303,0.89842,0.001604,0.001604,0.001604
18,965.046,0.73752,0.63094,0.91337,0.99289,0.99413,0.99493,0.81164,0.68511,0.72909,0.89934,0.00157925,0.00157925,0.00157925
19,1020.23,0.7443,0.60212,0.9166,1,0.99878,0.995,0.82314,0.69067,0.60227,0.87463,0.0015545,0.0015545,0.0015545
20,1073.87,0.69321,0.57271,0.89546,0.99988,1,0.995,0.83297,0.65942,0.55807,0.87289,0.00152975,0.00152975,0.00152975
21,1127.63,0.74273,0.57921,0.90887,1,0.99759,0.995,0.82739,0.67426,0.56964,0.87526,0.001505,0.001505,0.001505
22,1181.29,0.72286,0.56499,0.91248,0.9963,1,0.995,0.83838,0.66262,0.55853,0.86473,0.00148025,0.00148025,0.00148025
23,1234.34,0.69035,0.53557,0.90421,0.99961,1,0.995,0.83312,0.63576,0.51965,0.85671,0.0014555,0.0014555,0.0014555
24,1288.7,0.70595,0.54803,0.89077,0.99807,1,0.995,0.82716,0.66102,0.54425,0.85799,0.00143075,0.00143075,0.00143075
25,1340.82,0.72319,0.53356,0.8976,0.99856,1,0.995,0.82734,0.67344,0.52771,0.87266,0.001406,0.001406,0.001406
26,1393.68,0.68873,0.52817,0.90557,0.99876,1,0.995,0.84844,0.63198,0.50613,0.85934,0.00138125,0.00138125,0.00138125
27,1446.54,0.69768,0.53484,0.90319,0.98915,1,0.99446,0.84835,0.61004,0.51577,0.85409,0.0013565,0.0013565,0.0013565
28,1499.5,0.70252,0.52823,0.89607,0.99942,1,0.995,0.82932,0.61783,0.52609,0.8574,0.00133175,0.00133175,0.00133175
29,1553.15,0.66059,0.48534,0.88524,0.99235,1,0.99252,0.83491,0.63174,0.51891,0.86182,0.001307,0.001307,0.001307
30,1606.84,0.63457,0.47935,0.88163,0.99692,1,0.995,0.8532,0.63692,0.47927,0.85079,0.00128225,0.00128225,0.00128225
31,1661.32,0.65589,0.47276,0.88559,0.99869,1,0.995,0.83827,0.61127,0.45081,0.84848,0.0012575,0.0012575,0.0012575
32,1717.14,0.62734,0.46438,0.88375,0.99938,1,0.995,0.85222,0.5999,0.45507,0.84211,0.00123275,0.00123275,0.00123275
33,1770.43,0.64876,0.46385,0.87739,0.99773,0.99644,0.995,0.86524,0.56167,0.43954,0.83758,0.001208,0.001208,0.001208
34,1823.41,0.63019,0.45259,0.86774,0.99938,1,0.995,0.86358,0.61454,0.44943,0.84749,0.00118325,0.00118325,0.00118325
35,1876.28,0.67894,0.46883,0.88076,1,0.99981,0.995,0.86122,0.58247,0.42092,0.85109,0.0011585,0.0011585,0.0011585
36,1929.31,0.63222,0.43862,0.87317,0.99984,1,0.995,0.87797,0.56258,0.41728,0.83927,0.00113375,0.00113375,0.00113375
37,1982.54,0.63671,0.44766,0.8695,0.99594,1,0.99486,0.87387,0.5917,0.42246,0.84084,0.001109,0.001109,0.001109
38,2035.06,0.62452,0.44018,0.8836,1,0.99975,0.995,0.86296,0.58336,0.43675,0.84362,0.00108425,0.00108425,0.00108425
39,2087.99,0.68155,0.45986,0.87499,0.99867,1,0.995,0.85375,0.56479,0.46384,0.83755,0.0010595,0.0010595,0.0010595
40,2141.43,0.64093,0.42665,0.88506,0.99964,1,0.995,0.87374,0.55782,0.41715,0.83198,0.00103475,0.00103475,0.00103475
41,2195.05,0.60157,0.41323,0.85102,0.99962,1,0.995,0.88858,0.5388,0.39637,0.82989,0.00101,0.00101,0.00101
42,2248.12,0.60312,0.42304,0.88987,0.99948,1,0.995,0.88799,0.53233,0.38618,0.82572,0.00098525,0.00098525,0.00098525
43,2300.78,0.60024,0.41878,0.86679,0.99959,1,0.995,0.88761,0.53335,0.3704,0.82613,0.0009605,0.0009605,0.0009605
44,2353.3,0.55756,0.39162,0.8576,0.99943,1,0.995,0.88647,0.52357,0.3746,0.82919,0.00093575,0.00093575,0.00093575
45,2406.62,0.55083,0.38493,0.86761,0.99962,1,0.995,0.90638,0.50735,0.36324,0.81946,0.000911,0.000911,0.000911
46,2460.03,0.5587,0.39813,0.86866,0.99904,1,0.995,0.90401,0.51796,0.36442,0.82226,0.00088625,0.00088625,0.00088625
47,2513.53,0.59945,0.38944,0.87322,0.9994,1,0.995,0.89418,0.5295,0.38215,0.82513,0.0008615,0.0008615,0.0008615
48,2567.19,0.58026,0.39395,0.85832,0.99968,1,0.995,0.89745,0.51392,0.36803,0.82363,0.00083675,0.00083675,0.00083675
49,2620.21,0.55976,0.39236,0.85652,0.99977,1,0.995,0.88911,0.51163,0.37392,0.8214,0.000812,0.000812,0.000812
50,2673.64,0.56373,0.3833,0.86384,0.99974,1,0.995,0.89358,0.52875,0.38358,0.83027,0.00078725,0.00078725,0.00078725
51,2726.25,0.59821,0.40309,0.89078,0.99965,1,0.995,0.90313,0.49593,0.37616,0.81963,0.0007625,0.0007625,0.0007625
52,2778.75,0.54973,0.37891,0.8527,0.99969,1,0.995,0.91062,0.49512,0.36168,0.81803,0.00073775,0.00073775,0.00073775
53,2831.06,0.55065,0.37981,0.85127,0.99973,1,0.995,0.91005,0.5033,0.35628,0.82091,0.000713,0.000713,0.000713
54,2883.01,0.53986,0.36925,0.85693,0.99976,1,0.995,0.90624,0.50102,0.36,0.81603,0.00068825,0.00068825,0.00068825
55,2935.54,0.53474,0.37449,0.85497,0.99976,1,0.995,0.90579,0.5047,0.35227,0.81764,0.0006635,0.0006635,0.0006635
56,2988.22,0.557,0.37416,0.85965,0.99976,1,0.995,0.91865,0.47143,0.34876,0.81071,0.00063875,0.00063875,0.00063875
57,3040.8,0.47677,0.3439,0.8327,0.99976,1,0.995,0.92033,0.48917,0.34043,0.81426,0.000614,0.000614,0.000614
58,3093.2,0.54198,0.36431,0.85579,0.99971,1,0.995,0.92216,0.47248,0.32723,0.81273,0.00058925,0.00058925,0.00058925
59,3146.28,0.53777,0.35257,0.85047,0.99974,1,0.995,0.91683,0.46766,0.3243,0.80839,0.0005645,0.0005645,0.0005645
60,3198.13,0.51544,0.35004,0.85311,0.99976,1,0.995,0.91618,0.46764,0.32167,0.80828,0.00053975,0.00053975,0.00053975
